Id,Price
4567,396165.71667617257
5925,394173.39452141535
960,356402.10623717523
3848,393514.99038863304
746,371923.3468646421
868,389894.7174695324
672,394173.39452141535
2471,401108.7114121466
4510,421726.78610409226
8354,380839.0659099515
6393,333829.4248621327
13270,394806.70110553835
5250,396506.9625810443
16751,380160.29792403517
11404,384438.9749759181
10588,389894.7174695324
14925,389721.98869680474
6791,397765.20882923907
16097,400890.2988808841
16428,394806.70110553835
6945,398916.05691499385
3190,394806.70110553835
15709,396506.9625810443
13155,333065.9673664908
7675,391246.6086876909
14686,397765.20882923907
609,394806.70110553835
11155,399456.40824230196
10869,389894.7174695324
15742,390605.5163047981
9245,403471.4376925676
3340,356402.10623717523
2359,398916.05691499385
8070,389894.7174695324
13707,421726.78610409226
16079,390232.239550577
15937,404541.12065103557
14090,401108.7114121466
9008,393372.81046695623
16384,421726.78610409226
11657,358230.65267420886
13151,390832.7102368107
8990,356402.10623717523
11857,414193.8168254302
1565,383669.2372737125
8174,364236.66935743985
9247,358230.65267420886
10478,357575.8888867506
15509,387581.5132630375
8306,396506.9625810443
6642,397765.20882923907
7472,404541.12065103557
15989,387866.18051399133
13682,373998.59975003154
163,394173.39452141535
7076,384438.9749759181
7478,392795.23024196527
3029,400890.2988808841
1814,403471.4376925676
10057,394173.39452141535
15100,380160.29792403517
12694,395104.2060468798
6291,400890.2988808841
12603,387581.5132630375
3218,389894.7174695324
13456,357575.8888867506
10170,386772.5430355471
4530,389894.7174695324
13329,380160.29792403517
4820,389721.98869680474
10896,391489.13005377277
13416,384438.9749759181
2701,394912.5499968039
11265,394912.5499968039
9189,391246.6086876909
1858,403107.23001245345
14536,397765.20882923907
6199,376548.89222438104
14730,333829.4248621327
7510,391155.87933538685
15505,396506.9625810443
7446,403107.23001245345
14016,393403.65681920975
14113,351147.2063555992
8721,404541.12065103557
6193,396506.9625810443
5717,386772.5430355471
5427,386772.5430355471
9520,419255.4865108369
6869,356402.10623717523
1658,391155.87933538685
6639,404541.12065103557
6283,391489.13005377277
6257,387866.18051399133
15235,389721.98869680474
902,366530.51758769166
8932,329963.48984174593
16469,396506.9625810443
2825,333829.4248621327
6450,396506.9625810443
11366,357575.8888867506
3801,400890.2988808841
11385,383669.2372737125
1079,394912.5499968039
3202,391155.87933538685
676,386772.5430355471
6185,404541.12065103557
7730,415020.2604149109
2573,369553.41311377985
10978,397765.20882923907
10962,394806.70110553835
8870,404541.12065103557
8496,439861.2239642952
5517,404541.12065103557
927,391155.87933538685
13675,404541.12065103557
1499,394173.39452141535
15536,394806.70110553835
8602,379559.19390047115
12137,399456.40824230196
